company,job_title,city,country,lat_long,ticket,discount,age,gender,times,org_size,background,decision_making,influence
CityBugs Social Startup,"Co-Founder, Project Manager",Yerevan,Armenia,"""40.179186,44.499103""",Early-Bird Member - Group,,35-44,Male,1,null,Professional,No,High
Umbrella Journalists’ International Network NGO,President/Editor in Chief,Yerevan,Armenia,"""40.179186,44.499103""",Early-Bird Member - Group,,35-44,Female,1,null,Professional,Yes,null
Artear SA,Product Manager,Buenos Aires,Argentina,"""-34.603684,-58.381559""",Getting-Closer Non-Member,,25-34,Male,null,null,Professional | Academic | Communications/Marketing  | Publisher,No,Medium
Artear S.A.,Editor in chief,Buenos Aires,Argentina,"""-34.603684,-58.381559""",Almost There Non-Member,,25-34,Male,null,null,Professional | Academic | Entrepreneur/Start up  | Manager | Technologist,No,High
LA NACION,New Media Research and Training Manager,Buenos Aires,Argentina,"""-34.603684,-58.381559""",Early-Bird Member,member133kx5w8,35-44,Female,4-7,501+,Professional | Manager | Print,No,Medium
La Nación,Digital Content Chief,Buenos Aires,Argentina,"""-34.603684,-58.381559""",Early-Bird Member,member133kx5w8,35-44,Male,1,301-500,Manager | Pure-Play Digital | Communications/Marketing,No,High
TyC Sports,Jefe de Plataformas Digitales,Buenos Aires,Argentina,"""-34.603684,-58.381559""",Almost There Member,member133kx5w8,35-44,Male,null,null,Professional | Manager | Broadcast,No,Medium
fjum forum for journalism and media vienna,communications,Vienna,Austria,"""48.208174,16.373819""",Early-Bird Member,member133kx5w8,35-44,Female,1,3-10,Academic,No,Medium
fjum forum for journalism and media vienna,director,Vienna,Austria,"""48.208174,16.373819""",Early-Bird Member,member133kx5w8,35-44,Female,1,3-10,Academic,Yes,null
Macleay College Pty Ltd,Acting Dean,Sydney,Australia,"""-33.867487,151.20699""",Getting-Closer Non-Member,,55-64,Male,null,null,Professional | Academic | Director | Manager,Yes,null
"Twitter, Inc.",News partnerships,Sydney,Australia,"""-33.867487,151.20699""",Getting Closer Member,,25-34,Male,1,501+,Professional,No,Low
University of Sydney,ARC DECRA fellow,Sydney,Australia,"""-33.867487,151.20699""",Getting Closer Member,member133kx5w8,45-54,Female,null,null,Academic,No,Medium
Shorthand,-,Milton,Australia,"""-27.468918,153.003239""",Almost There Member,member133kx5w8,25-34,Female,1,null,Professional,No,Medium
Shorthand,-,Milton,Australia,"""-27.468918,153.003239""",Almost There Member,member133kx5w8,18-24,Female,1,null,Professional,No,Medium
Radio Free Europe/Radio Liberty,"web editor, translator, correspondent",Baku,Azerbaijan,"""40.409262,49.867092""",Early-Bird Member - Group,,35-44,Female,1,null,Professional,No,Low
News Media Coalition,Executive Director,Brussels,Belguim,"""50.85034,4.35171""",Complimentary Registration,speaker,55-64,Male,1,null,Professional | Executive | Director | Print | Publisher,Yes,null
Brazilian Electricity Regulatory Agency - ANEEL,Communications Analyst,Brasília,Brasil,"""-15.794229,-47.882166""",Student Non-Member,,35-44,Female,1,501+,Student | Communications/Marketing,No,Low
"Twitter, Inc.",Media Partnerships Brazil,Rio de Janeiro,Brasil,"""-22.906847,-43.172896""",Getting Closer Member,,35-44,Male,1,null,Professional,No,Low
"Twitter, Inc.","Editorial Lead, Latam",Sao Paulo,Brasil,"""-23.55052,-46.633309""",Getting Closer Member,,35-44,Male,1,null,Professional,No,Medium
Folha de S. Paulo,Columnist,Sao Paulo,Brasil,"""-23.55052,-46.633309""",Complimentary Registration,speaker,35-44,Female,1,null,Professional | Print,No,Low
Projor,President,Sao Paulo,Brasil,"""-23.55052,-46.633309""",Early-Bird Member,member133kx5w8,45-54,Female,4-7,3-10,Professional | Academic | Nonprofit | Director | Manager | Communications/Marketing,Yes,null
"Twitter, Inc.",Communications Manager,Sao Paulo,Brasil,"""-23.55052,-46.633309""",Getting Closer Member,,35-44,Female,1,null,Professional,No,Low
Yahoo,"Front Page, News & Finance Manager",Sao Paulo,Brasil,"""-23.55052,-46.633309""",Getting Closer Member,member133kx5w8,35-44,Male,null,null,Professional | Entrepreneur/Start up  | Manager,No,Low
Yahoo Brazil,Sports & Entertainment Manager,Sao Paulo,Brasil,"""-23.55052,-46.633309""",Almost There Non-Member,,25-34,Male,null,null,Professional,No,Medium
Vice/CBC,Freelancer,Edmonton,Canada,"""53.544389,-113.490927""",Student Non-Member,ona15-waitlist-student-nonmember,25-34,Male,1,1-2,Professional,Yes,null
The Banff Centre,Editorial Director,Banff,Canada,"""51.178363,-115.570769""",Getting Closer Member,member133kx5w8,35-44,Male,null,null,Professional | Nonprofit | Director | Broadcast | Print,No,High
